Well.ID;Treatment;Date;Day.of.death;Censoring;Comments
A2.7;infection;2019.10.23 00:00;22;0;Dissection
A3.7;toxin.infection;2019.10.15 00:00;14;1;NA
A4.7;toxin;2019.10.23 00:00;22;0;Euthanasia
A5.7;infection;2019.10.22 00:00;21;1;NA
A6.7;control;2019.10.23 00:00;22;0;Euthanasia
B1.7;toxin;2019.10.23 00:00;22;0;Euthanasia
B2.7;toxin.infection;2019.10.23 00:00;22;0;Dissection
B3.7;infection;2019.10.23 00:00;22;0;Dissection
B4.7;toxin.infection;2019.10.18 00:00;17;1;NA
B5.7;toxin.infection;2019.10.02 00:00;1;1;NA
B6.7;toxin.infection;2019.10.21 00:00;20;1;NA
C1.7;toxin.infection;2019.10.21 00:00;20;1;NA
C2.7;infection;2019.10.23 00:00;22;0;Dissection
C3.7;toxin;2019.10.14 00:00;13;1;NA
C4.7;infection;2019.10.23 00:00;22;0;Dissection
C5.7;infection;2019.10.23 00:00;22;0;Dissection
C6.7;toxin.infection;2019.10.23 00:00;22;0;Dissection
D1.7;infection;2019.10.23 00:00;22;0;Dissection
D2.7;infection;2019.10.23 00:00;22;0;Dissection
D3.7;toxin.infection;2019.10.21 00:00;20;1;NA
D4.7;control;2019.10.23 00:00;22;0;Euthanasia
D5.7;toxin.infection;2019.10.23 00:00;22;0;Dissection
D6.7;control;2019.10.23 00:00;22;0;Euthanasia
A1.8;toxin.infection;2019.10.17 00:00;16;1;NA
A2.8;infection;2019.10.23 00:00;22;0;Dissection
A3.8;infection;2019.10.23 00:00;22;0;Dissection
A4.8;control;2019.10.23 00:00;22;0;Euthanasia
A5.8;toxin.infection;2019.10.23 00:00;22;0;Dissection
A6.8;toxin;2019.10.23 00:00;22;0;Euthanasia
B1.8;infection;2019.10.12 00:00;11;1;NA
B2.8;toxin.infection;2019.10.23 00:00;22;0;Dissection
B3.8;control;2019.10.23 00:00;22;0;Euthanasia
B4.8;infection;2019.10.23 00:00;22;0;Euthanasia
B5.8;toxin;2019.10.14 00:00;13;1;NA
B6.8;infection;2019.10.23 00:00;22;0;Dissection
C1.8;infection;2019.10.23 00:00;22;0;Dissection
C2.8;toxin;2019.10.23 00:00;22;0;Euthanasia
C3.8;toxin.infection;2019.10.23 00:00;22;0;Dissection
C4.8;infection;2019.10.23 00:00;22;0;Dissection
C5.8;toxin.infection;2019.10.17 00:00;16;1;NA
C6.8;toxin.infection;2019.10.17 00:00;16;1;NA
D1.8;control;2019.10.23 00:00;22;0;Euthanasia
D2.8;toxin.infection;2019.10.23 00:00;22;0;Dissection
D3.8;infection;2019.10.23 00:00;22;0;Dissection
D4.8;infection;2019.10.23 00:00;22;0;Dissection
D5.8;toxin.infection;2019.10.20 00:00;19;1;NA
D6.8;toxin;2019.10.17 00:00;16;1;NA
A1.9;infection;2019.10.24 00:00;23;0;Dissection
A2.9;toxin.infection;2019.10.22 00:00;21;1;NA
A3.9;control;2019.10.24 00:00;23;0;Euthanasia
A4.9;toxin;2019.10.17 00:00;16;1;NA
A5.9;control;2019.10.24 00:00;23;0;Euthanasia
A6.9;toxin.infection;2019.10.15 00:00;14;1;NA
B1.9;infection;2019.10.24 00:00;23;0;Dissection
B2.9;toxin;2019.10.24 00:00;23;0;Euthanasia
B3.9;infection;2019.10.23 00:00;22;1;NA
B4.9;toxin.infection;2019.10.24 00:00;23;0;Dissection
B5.9;infection;2019.10.24 00:00;23;0;Dissection
B6.9;toxin.infection;2019.10.18 00:00;17;1;NA
C1.9;infection;2019.10.24 00:00;23;0;Dissection
C2.9;toxin.infection;2019.10.18 00:00;17;1;NA
C3.9;infection;2019.10.21 00:00;20;1;NA
C4.9;toxin.infection;2019.10.19 00:00;18;1;NA
C5.9;infection;2019.10.24 00:00;23;0;Dissection
C6.9;infection;2019.10.24 00:00;23;0;Dissection
D1.9;toxin.infection;2019.10.12 00:00;11;1;NA
D2.9;infection;2019.10.06 00:00;5;1;NA
D3.9;control;2019.10.24 00:00;23;0;Euthanasia
D4.9;toxin.infection;2019.10.24 00:00;23;0;Dissection
D5.9;toxin;2019.10.24 00:00;23;0;Euthanasia
D6.9;infection;2019.10.24 00:00;23;0;Dissection
A1.10;control;2019.10.23 00:00;22;0;Euthanasia
A2.10;infection;2019.10.23 00:00;22;0;Dissection
A3.10;control;2019.10.23 00:00;22;0;Euthanasia
A4.10;toxin.infection;2019.10.23 00:00;22;0;Dissection
A5.10;toxin.infection;2019.10.18 00:00;17;1;NA
A6.10;infection;2019.10.17 00:00;16;1;NA
B1.10;toxin.infection;2019.10.23 00:00;22;0;Dissection
B2.10;control;2019.10.17 00:00;16;1;NA
B3.10;toxin.infection;2019.10.23 00:00;22;0;Dissection
B4.10;infection;2019.10.23 00:00;22;0;Dissection
B5.10;toxin;2019.10.17 00:00;16;1;NA
B6.10;toxin.infection;2019.10.23 00:00;22;0;Dissection
C1.10;infection;2019.10.23 00:00;22;0;Dissection
C2.10;toxin.infection;2019.10.23 00:00;22;0;Dissection
C3.10;toxin.infection;2019.10.23 00:00;22;0;Dissection
C4.10;infection;2019.10.23 00:00;22;0;Dissection
C5.10;toxin.infection;2019.10.23 00:00;22;0;Dissection
C6.10;infection;2019.10.23 00:00;22;0;Dissection
D1.10;toxin;2019.10.21 00:00;20;1;NA
D2.10;infection;2019.10.23 00:00;22;0;Dissection
D3.10;infection;2019.10.23 00:00;22;0;Dissection
D4.10;infection;2019.10.23 00:00;22;0;Dissection
D5.10;toxin.infection;2019.10.02 00:00;1;1;NA
D6.10;infection;2019.10.23 00:00;22;0;Dissection
A1.11;control;2019.10.08 00:00;9;1;NA
A2.11;control;2019.10.24 00:00;23;0;Euthanasia
A3.11;toxin;2019.10.24 00:00;23;0;Euthanasia
A4.11;toxin.infection;2019.10.16 00:00;15;1;NA
A5.11;control;2019.10.24 00:00;23;0;Euthanasia
A6.11;infection;2019.10.07 00:00;8;1;NA
B1.11;toxin.infection;2019.10.24 00:00;23;0;Dissection
B2.11;toxin.infection;2019.10.17 00:00;16;1;NA
B3.11;toxin.infection;2019.10.24 00:00;23;0;Dissection
B4.11;infection;2019.10.24 00:00;23;0;Dissection
B5.11;infection;2019.10.24 00:00;23;0;Lost
B6.11;toxin.infection;2019.10.24 00:00;23;0;Dissection
C1.11;infection;2019.10.05 00:00;4;1;NA
C2.11;infection;2019.10.24 00:00;23;0;Dissection
C3.11;infection;2019.10.24 00:00;23;0;Dissection
C4.11;toxin.infection;2019.10.23 00:00;22;1;NA
C5.11;infection;2019.10.24 00:00;23;0;Dissection
C6.11;infection;2019.10.12 00:00;11;1;NA
D1.11;toxin;2019.10.18 00:00;17;1;NA
D2.11;toxin.infection;2019.10.20 00:00;19;1;NA
D3.11;toxin.infection;2019.10.23 00:00;22;1;NA
D4.11;infection;2019.10.24 00:00;23;0;Dissection
D5.11;toxin.infection;2019.10.24 00:00;23;0;Dissection
D6.11;toxin;2019.10.13 00:00;12;1;NA
A1.12;infection;2019.10.23 00:00;22;0;Dissection
A2.12;infection;2019.10.23 00:00;22;0;Dissection
A3.12;control;2019.10.23 00:00;22;0;Euthanasia
A4.12;control;2019.10.23 00:00;22;0;Euthanasia
A5.12;toxin.infection;2019.10.23 00:00;22;0;Dissection
A6.12;infection;2019.10.23 00:00;22;0;Dissection
B1.12;toxin.infection;2019.10.23 00:00;22;0;Dissection
B2.12;infection;2019.10.12 00:00;11;1;NA
B3.12;toxin.infection;2019.10.23 00:00;22;0;Dissection.parasite
B4.12;infection;2019.10.23 00:00;22;0;Dissection
B5.12;toxin.infection;2019.10.23 00:00;22;0;Dissection
B6.12;toxin.infection;2019.10.23 00:00;22;1;NA
C1.12;toxin.infection;2019.10.23 00:00;22;0;Dissection
C2.12;toxin.infection;2019.10.23 00:00;22;0;Dissection
C3.12;toxin;2019.10.23 00:00;22;0;Euthanasia
C4.12;toxin.infection;2019.10.23 00:00;22;0;Dissection
C5.12;infection;2019.10.23 00:00;22;0;Dissection
C6.12;toxin;2019.10.23 00:00;22;0;Euthanasia
D1.12;toxin;2019.10.23 00:00;22;0;Euthanasia
D2.12;control;2019.10.23 00:00;22;0;Euthanasia
D3.12;infection;2019.10.23 00:00;22;0;Dissection
D4.12;toxin.infection;2019.10.23 00:00;22;0;Dissection
D5.12;infection;2019.10.23 00:00;22;0;Dissection
D6.12;infection;2019.10.23 00:00;22;0;Dissection
A1.13;toxin;2019.10.15 00:00;14;1;Euthanasia
A2.13;toxin.infection;2019.10.23 00:00;22;0;Dissection
A3.13;toxin.infection;2019.10.14 00:00;13;1;NA
A4.13;toxin.infection;2019.10.12 00:00;11;1;NA
A5.13;toxin;2019.10.23 00:00;22;0;Euthanasia
A6.13;infection;2019.10.23 00:00;22;0;Dissection
B1.13;infection;2019.10.23 00:00;22;0;Dissection
B2.13;infection;2019.10.23 00:00;22;0;Dissection
B3.13;infection;2019.10.23 00:00;22;0;Dissection
B4.13;toxin.infection;2019.10.05 00:00;4;1;NA
B5.13;toxin.infection;2019.10.17 00:00;16;1;NA
B6.13;toxin.infection;2019.10.15 00:00;14;1;NA
C1.13;control;2019.10.23 00:00;22;0;Euthanasia
C2.13;infection;2019.10.23 00:00;22;0;Dissection
C3.13;infection;2019.10.23 00:00;22;0;Dissection
C4.13;infection;2019.10.23 00:00;22;0;Dissection
C5.13;toxin.infection;2019.10.17 00:00;16;1;NA
C6.13;infection;2019.10.23 00:00;22;0;Dissection
D1.13;toxin;2019.10.23 00:00;22;0;Euthanasia
D2.13;infection;2019.10.23 00:00;22;0;Dissection
D3.13;toxin.infection;2019.10.14 00:00;13;1;NA
D4.13;toxin.infection;2019.10.23 00:00;22;0;Dissection
D5.13;toxin;2019.10.23 00:00;22;0;Euthanasia
D6.13;control;2019.10.23 00:00;22;0;Euthanasia
